Syndicate Number,UMR,Insured Country,Risk Location,Insured Name,Insured - Policyholder Type,Risk Code,Risk / Certificate Reference,Original Currency,Sum Insured,Gross Annual Premium in Period,YOA,Part VII Indicator,Original Signing Number,Original Signing Date
4567,W456794706QX,NETHERLANDS,NETHERLANDS,Smith Ltd,RETAIL,2E,2E9202,JPY,225267.39,15909.5,2024,Y,22/86735,22/12/2024
8901,A89013930Q66,BELGIUM,BELGIUM,City Enterprises plc,COMMERCIAL,4,42477,JPY,4935496.83,359767.5,2022,N,23/95010,31/12/2022
2791,C27919582Z09,BRAZIL,BRAZIL,Prime Industries Corp,CORPORATE,1T,1T3619,GBP,14594943.12,1194632.22,2021,N,24/15754,29/03/2021
5678,E567839301BL,SPAIN,SPAIN,Continental Services plc,BUSINESS,el,el5731,AUD,1673498.36,289665.24,2025,,22/25408,09/03/2025
3456,O345691534TA,CANADA,CANADA,Brown Enterprises,RETAIL,7,74897,CAD,259441.65,36977.41,2021,Y,24/69472,29/07/2021
7890,R78905556WU3,UNITED KINGDOM,UNITED KINGDOM,Global Industries Inc,BUSINESS,7,74028,CHF,1558550.15,78518.74,2021,Y,21/95626,28/06/2021
623,C6231803D9F,NETHERLANDS,NETHERLANDS,Premier Group International,CORPORATE,el,el3906,GBP,33448984.37,1950592.3,2022,N,23/14697,17/02/2022
4567,R45672063KEZ,GERMANY,GERMANY,Metro Business Group,COMMERCIAL,3T,3T6393,JPY,5010904.08,329176.59,2023,,24/78766,18/04/2023
3456,P34565705P4J,INDIA,INDIA,Davis LLC,RETAIL,1E,1E6797,GBP,1076051.35,77221.65,2025,Y,24/78118,20/11/2025
7890,G78901025EQ2,AUSTRALIA,AUSTRALIA,Supreme Holdings Ltd,CORPORATE,eh,eh7793,USD,29308740.99,2622092.85,2024,N,21/53750,28/06/2024
8901,I89012111LSL,JAPAN,JAPAN,Mega Corporation plc,CORPORATE,1E,1E2865,AUD,39210122.02,2069907.2,2022,,23/54742,22/07/2022
9012,K901265367RR,ITALY,ITALY,Global Industries Inc,BUSINESS,1E,1E3224,CAD,8253261.83,423778.73,2025,N,22/92208,24/08/2025
8901,Q89015904UYT,HONG KONG,HONG KONG,Smith Ltd,RETAIL,5,54412,CAD,268310.14,16808.24,2023,,23/56346,03/02/2023
2791,U279197534UO,BELGIUM,BELGIUM,Urban Services Ltd,COMMERCIAL,el,el2914,GBP,7290168.94,944506.41,2023,N,23/14145,20/05/2023
6789,J67894541SGN,SWITZERLAND,SWITZERLAND,ABC Commercial Ltd,COMMERCIAL,5,54311,USD,2576217.88,159846.64,2021,Y,24/76321,13/01/2021
7890,X78909579LL1,BELGIUM,BELGIUM,ABC Commercial Ltd,COMMERCIAL,2E,2E9456,USD,10876580.12,617025.8,2025,,22/36894,19/01/2025
7890,A789060957YV,INDIA,INDIA,Smith Ltd,RETAIL,9,96460,CAD,309434.87,18278.38,2024,N,21/23513,23/09/2024
4567,K45674285GJL,NETHERLANDS,NETHERLANDS,Continental Services plc,BUSINESS,7,72927,CAD,1049136.58,140732.29,2021,N,22/30643,21/05/2021
1234,G12349888MLF,INDIA,INDIA,Williams Group,RETAIL,7,75011,CHF,354793.99,20605.25,2021,Y,21/50812,10/11/2021
5678,P56781826DBP,SPAIN,SPAIN,Jones & Co,RETAIL,5,58304,GBP,876015.51,68193.74,2025,,23/50952,20/06/2025
3456,C34568672DLX,BRAZIL,BRAZIL,Continental Services plc,BUSINESS,1T,1T8709,CAD,3839941.52,211473.72,2025,Y,22/28837,12/11/2025
4567,O45678987BRM,BELGIUM,BELGIUM,Elite Consortium Ltd,CORPORATE,4,43798,USD,39086266.35,2266002.98,2023,N,23/89225,22/10/2023
2791,R279121622TO,FRANCE,FRANCE,Elite Consortium Ltd,CORPORATE,1T,1T4908,JPY,26380857.06,2476107.09,2025,,22/81820,23/03/2025
7890,Z78908132UMY,JAPAN,JAPAN,XYZ Trading Co,COMMERCIAL,1T,1T2276,EUR,4916585.45,516411.81,2024,,24/24984,30/10/2024
9012,F901260468CD,FRANCE,FRANCE,Urban Services Ltd,COMMERCIAL,3T,3T7208,CHF,9692142.24,772848.44,2024,N,24/94540,04/12/2024
623,Y6233403XQK,SPAIN,SPAIN,Davis LLC,RETAIL,2T,2T8326,CAD,500441.2,27060.21,2021,Y,22/99327,12/06/2021
4567,W456766409UW,NETHERLANDS,NETHERLANDS,Urban Services Ltd,COMMERCIAL,eh,eh7622,AUD,5859819.62,445502.1,2025,Y,23/18180,09/07/2025
8901,D890156235IZ,CHINA,CHINA,Elite Consortium Ltd,CORPORATE,1E,1E6212,AUD,65772575.01,4579124.5,2021,,24/63219,15/07/2021
6789,E67894083T4M,ITALY,ITALY,City Enterprises plc,COMMERCIAL,2T,2T3527,AUD,3918960.64,205208.24,2025,N,22/27600,06/01/2025
1234,E12342387E34,MEXICO,MEXICO,Urban Services Ltd,COMMERCIAL,2E,2E7974,AUD,6665054.53,664937.25,2021,,22/69558,18/09/2021
6789,H67894044PAR,SINGAPORE,SINGAPORE,Supreme Holdings Ltd,CORPORATE,el,el9220,JPY,19053334.14,1126724.33,2025,N,24/81587,23/10/2025
5678,D567888898C0,MEXICO,MEXICO,Prime Industries Corp,CORPORATE,1E,1E5578,CHF,42780561.72,3290327.4,2021,N,21/78597,09/11/2021
1234,T123418646TA,GERMANY,GERMANY,Elite Consortium Ltd,CORPORATE,5,59399,AUD,76109243.01,4522516.62,2022,N,23/65183,30/06/2022
4567,B45678752UUX,NETHERLANDS,NETHERLANDS,Premier Group International,CORPORATE,2E,2E1447,GBP,11442027.8,1182536.96,2023,N,24/20814,06/03/2023
8901,E89015603JJ0,CANADA,CANADA,Prime Industries Corp,CORPORATE,el,el3860,CAD,26148826.62,1618201.13,2021,,22/96396,17/08/2021
5678,F567896405MD,AUSTRALIA,AUSTRALIA,XYZ Trading Co,COMMERCIAL,3E,3E3525,CAD,1763712.61,130179.19,2022,N,24/60222,02/05/2022
7890,U789053311EG,SWITZERLAND,SWITZERLAND,Brown Enterprises,RETAIL,2T,2T8802,CHF,1405534.43,77433.58,2022,N,24/79798,30/04/2022
6789,A678957317QY,SPAIN,SPAIN,Urban Services Ltd,COMMERCIAL,5,51672,EUR,7063905.08,407873.57,2024,Y,23/66595,08/11/2024
4567,U45677408QYI,FRANCE,FRANCE,Prime Industries Corp,CORPORATE,3E,3E4193,EUR,17658609.23,997842.82,2023,,23/98829,20/12/2023
2791,A27917737DDQ,UNITED KINGDOM,UNITED KINGDOM,Jones & Co,RETAIL,6,65641,GBP,187529.35,17111.42,2023,N,22/14461,13/01/2023
9012,W90122965DVN,JAPAN,JAPAN,Davis LLC,RETAIL,1E,1E4027,CHF,585287.18,80743.06,2021,Y,22/43205,31/05/2021
7890,W78906298J2J,CANADA,CANADA,ABC Commercial Ltd,COMMERCIAL,8,87271,JPY,4850305.22,306326.26,2021,N,23/17872,13/05/2021
4567,T45677432GRF,MEXICO,MEXICO,Continental Services plc,BUSINESS,5,54578,GBP,5467078.53,374016.44,2022,,21/67878,13/05/2022
1234,A12349154FX7,CANADA,CANADA,City Enterprises plc,COMMERCIAL,1T,1T5365,GBP,9521262.24,724553.6,2021,Y,23/61292,22/10/2021
623,N6237617422,MEXICO,MEXICO,Urban Services Ltd,COMMERCIAL,9,94700,CAD,3326759.72,326619.15,2025,Y,24/73185,04/03/2025
9012,M90121904W8D,BELGIUM,BELGIUM,Prime Industries Corp,CORPORATE,em,em6571,EUR,24534974.89,1317189.73,2025,Y,24/48005,28/11/2025
3456,J345673916WM,SINGAPORE,SINGAPORE,Global Industries Inc,BUSINESS,6,68175,GBP,3441780.76,312526.31,2022,,22/28342,19/01/2022
3456,M345620322XR,AUSTRALIA,AUSTRALIA,City Enterprises plc,COMMERCIAL,9,91268,CHF,9908231.47,515805.22,2021,Y,23/17347,22/06/2021
623,V6239791FU7,INDIA,INDIA,ABC Commercial Ltd,COMMERCIAL,1T,1T3319,USD,3283064.78,238016.26,2024,N,21/71763,12/11/2024
623,F623181863D,SPAIN,SPAIN,Davis LLC,RETAIL,9,93796,AUD,751948.21,53059.42,2022,,21/23937,28/02/2022
7890,Z78904320P39,AUSTRALIA,AUSTRALIA,Brown Enterprises,RETAIL,eh,eh6312,CHF,121518.59,6720.47,2025,Y,22/52151,20/04/2025
623,I62333141GN,GERMANY,GERMANY,Jones & Co,RETAIL,2E,2E8187,EUR,1260789.85,93551.24,2025,Y,21/27481,21/02/2025
9012,C90121104A7Z,UNITED KINGDOM,UNITED KINGDOM,Urban Services Ltd,COMMERCIAL,eh,eh5648,USD,13694587.13,726985.74,2024,N,24/26632,15/04/2024
2791,F27911616VZW,HONG KONG,HONG KONG,Global Industries Inc,BUSINESS,6,65934,JPY,2683891.4,368257.39,2023,N,24/10599,13/10/2023
3456,Y34569842SQW,FRANCE,FRANCE,Supreme Holdings Ltd,CORPORATE,1T,1T5528,CHF,43617741.23,3093297.62,2022,Y,22/24769,18/03/2022
7890,U78906966KPM,UNITED STATES,UNITED STATES,Brown Enterprises,RETAIL,2E,2E1709,USD,726792.06,45292.41,2024,Y,21/80432,31/03/2024
2791,H27918287VLH,FRANCE,FRANCE,Williams Group,RETAIL,5,54769,CHF,1770611.52,93764.87,2021,Y,23/39855,20/02/2021
3456,C34568716VBP,SINGAPORE,SINGAPORE,International Trading Co,BUSINESS,el,el8454,USD,1693919.28,252877.72,2024,Y,24/58953,10/03/2024
7890,K78903084BUK,CANADA,CANADA,Global Industries Inc,BUSINESS,8,88627,EUR,8671790.7,493178.54,2022,N,24/32439,25/06/2022
3456,C345677454R9,ITALY,ITALY,United Manufacturing Corp,BUSINESS,7,78757,USD,1995986.18,106098.21,2023,N,23/11901,08/08/2023
3456,S34561083PB9,AUSTRALIA,AUSTRALIA,United Manufacturing Corp,BUSINESS,3T,3T1550,JPY,5642908.85,441453.36,2022,N,24/72818,23/12/2022
1234,W123476628EK,GERMANY,GERMANY,Smith Ltd,RETAIL,5,51260,USD,671967.78,61171.17,2024,N,23/31207,26/12/2024
7890,O789032715O2,UNITED KINGDOM,UNITED KINGDOM,Metro Business Group,COMMERCIAL,9,98607,CHF,1497028.52,149285.47,2025,,21/92222,06/02/2025
6789,Y67895420ZWU,NETHERLANDS,NETHERLANDS,XYZ Trading Co,COMMERCIAL,6,62326,GBP,4169992.82,822568.1,2023,,23/17184,21/09/2023
5678,T56781669NGU,SWITZERLAND,SWITZERLAND,ABC Commercial Ltd,COMMERCIAL,1T,1T4354,JPY,4390649.81,400149.25,2021,Y,23/41278,04/10/2021
1234,K123467786SP,JAPAN,JAPAN,Global Industries Inc,BUSINESS,9,92038,CAD,5485734.75,291828.02,2024,N,23/69298,05/09/2024
8901,O89017031283,MEXICO,MEXICO,Mega Corporation plc,CORPORATE,el,el4085,GBP,21006128.83,2058556.97,2025,N,21/20508,20/07/2025
2791,D27913424R5S,ITALY,ITALY,Mega Corporation plc,CORPORATE,1T,1T5803,GBP,44997425.15,3818755.62,2023,N,22/72115,27/06/2023
6789,G67892031A24,UNITED KINGDOM,UNITED KINGDOM,Prime Industries Corp,CORPORATE,9,96503,AUD,17806261.42,1510721.7,2024,N,23/95951,26/11/2024
5678,O56785982U6L,INDIA,INDIA,Metro Business Group,COMMERCIAL,7,74715,AUD,1733849.25,226771.32,2024,N,23/47767,25/01/2024
2791,W27919770K94,ITALY,ITALY,International Trading Co,BUSINESS,3E,3E3641,JPY,3094779.47,274265.5,2023,Y,21/15393,12/06/2023
9012,G90121568X9F,SWITZERLAND,SWITZERLAND,Continental Services plc,BUSINESS,5,59845,EUR,4818057.12,461680.66,2022,Y,23/25923,13/01/2022
6789,E678910708TS,BRAZIL,BRAZIL,Premier Group International,CORPORATE,eh,eh8764,USD,45083476.49,3112647.58,2024,N,22/84086,14/08/2024
5678,V56782914LO4,UNITED STATES,UNITED STATES,Continental Services plc,BUSINESS,9,96855,JPY,835764.09,55892.51,2021,Y,23/17213,08/11/2021
3456,A34562369TQY,CANADA,CANADA,Global Industries Inc,BUSINESS,6,69385,USD,2526343.07,130116.19,2025,N,22/74286,12/06/2025
9012,E90128006NNK,SWITZERLAND,SWITZERLAND,Metro Business Group,COMMERCIAL,6,66047,GBP,2623046.97,233796.45,2025,N,21/38271,16/08/2025
6789,E67892410FK9,HONG KONG,HONG KONG,Urban Services Ltd,COMMERCIAL,3E,3E6495,USD,3528003.83,176814.7,2024,Y,24/21593,04/01/2024
6789,W67893243H3K,CHINA,CHINA,City Enterprises plc,COMMERCIAL,4,41691,USD,7689446.78,551975.51,2023,N,23/74762,14/10/2023
7890,I7890591784R,UNITED KINGDOM,UNITED KINGDOM,Worldwide Logistics Ltd,BUSINESS,1E,1E7834,CAD,1302949.12,80184.41,2022,Y,24/94513,06/05/2022
623,T6236927UU5,MEXICO,MEXICO,Brown Enterprises,RETAIL,eh,eh2959,EUR,460681.13,24941.03,2021,N,21/44018,25/03/2021
9012,L90123675BNW,BRAZIL,BRAZIL,Worldwide Logistics Ltd,BUSINESS,2E,2E1798,EUR,1118623.87,142312.84,2021,N,23/79417,24/11/2021
1234,T12343738T53,ITALY,ITALY,Williams Group,RETAIL,2T,2T5447,CAD,102352.93,8472.22,2025,,23/22561,01/10/2025
9012,Q90125610NRM,UNITED KINGDOM,UNITED KINGDOM,International Trading Co,BUSINESS,el,el2678,USD,1820699.89,304178.51,2023,Y,22/75979,24/04/2023
3456,N345685446EE,INDIA,INDIA,Smith Ltd,RETAIL,7,78856,AUD,928313.9,78675.12,2025,N,23/57522,13/03/2025
7890,W78905991B3I,BELGIUM,BELGIUM,International Trading Co,BUSINESS,6,64712,CAD,3320589.1,285975.62,2025,N,22/37504,08/03/2025
1234,A123489341BD,FRANCE,FRANCE,Davis LLC,RETAIL,9,91971,CAD,576938.99,43072.49,2024,N,21/43162,23/01/2024
1234,T12344365VHY,FRANCE,FRANCE,Smith Ltd,RETAIL,8,82487,GBP,152629.36,19747.82,2023,Y,23/85989,28/06/2023
5678,D56781229TZ8,AUSTRALIA,AUSTRALIA,Jones & Co,RETAIL,el,el9800,CHF,1667178.65,86869.63,2022,Y,21/38051,16/09/2022
7890,V78902758GMN,ITALY,ITALY,XYZ Trading Co,COMMERCIAL,9,99425,CHF,3950474.26,435978.38,2023,Y,24/24790,10/06/2023
1234,Y12346918ZUB,SPAIN,SPAIN,Metro Business Group,COMMERCIAL,1T,1T9088,CHF,7564631.58,679599.59,2024,Y,24/47173,21/08/2024
9012,R90127672K4G,BRAZIL,BRAZIL,Global Industries Inc,BUSINESS,8,88793,CAD,450991.73,61423.86,2023,,23/33500,07/01/2023
7890,D78903348OZ9,INDIA,INDIA,Jones & Co,RETAIL,4,42060,JPY,1086780.1,73017.36,2021,N,22/54385,13/04/2021
9012,I90125472127,HONG KONG,HONG KONG,Metro Business Group,COMMERCIAL,1T,1T8795,USD,1036086.69,124386.39,2024,,24/73508,18/09/2024
4567,I45679017RWE,FRANCE,FRANCE,Smith Ltd,RETAIL,eh,eh1865,JPY,406394.46,26952.11,2022,Y,24/98880,14/01/2022
2791,J279125781XS,BELGIUM,BELGIUM,Continental Services plc,BUSINESS,7,78635,AUD,386281.38,58869.74,2024,Y,23/96781,11/09/2024
7890,Y7890151795E,BELGIUM,BELGIUM,Brown Enterprises,RETAIL,3E,3E6153,CHF,621870.57,80992.03,2025,N,24/70248,19/01/2025
623,P6238056EZR,NETHERLANDS,NETHERLANDS,Global Industries Inc,BUSINESS,6,69037,AUD,2946757.8,343735.75,2022,,24/72378,15/10/2022
2791,S27917189WM9,CANADA,CANADA,Metro Business Group,COMMERCIAL,1E,1E2006,JPY,1638693.17,189497.25,2025,Y,21/26803,07/07/2025
5678,D56788014MMM,BELGIUM,BELGIUM,XYZ Trading Co,COMMERCIAL,1E,1E5056,CAD,13377302.96,750040.24,2025,Y,23/87664,13/02/2025
1234,R12346343BXP,ITALY,ITALY,Davis LLC,RETAIL,1T,1T7900,EUR,919036.49,83870.89,2023,N,21/71564,29/10/2023
623,S62326013DY,SINGAPORE,SINGAPORE,Premier Group International,CORPORATE,4,49138,CHF,28313217.62,3506383.11,2023,,23/31840,11/11/2023
4567,R45674507KB9,MEXICO,MEXICO,Brown Enterprises,RETAIL,4,44700,USD,605901.58,32849.03,2023,,21/85784,18/02/2023
9012,N90124436MC3,INDIA,INDIA,Urban Services Ltd,COMMERCIAL,3E,3E5913,GBP,701780.41,111701.73,2023,N,23/36224,01/08/2023
6789,A678994575UH,BRAZIL,BRAZIL,Continental Services plc,BUSINESS,7,75389,CHF,774874.04,143548.81,2023,,24/84202,17/11/2023
623,H6233465014,BRAZIL,BRAZIL,Continental Services plc,BUSINESS,2T,2T6220,EUR,1809555.65,131645.95,2025,Y,22/64059,17/05/2025
4567,H45672860FA2,AUSTRALIA,AUSTRALIA,Metro Business Group,COMMERCIAL,3E,3E8604,AUD,8814034.08,479282.1,2022,N,24/65314,28/11/2022
623,I6235551XG4,SPAIN,SPAIN,Brown Enterprises,RETAIL,2E,2E1326,EUR,837090.37,82657.14,2022,Y,21/51144,05/11/2022
4567,M45673302IUS,SWITZERLAND,SWITZERLAND,Smith Ltd,RETAIL,em,em9551,JPY,317067.18,29645.23,2021,,23/75070,16/02/2021
3456,S34567388307,BELGIUM,BELGIUM,Supreme Holdings Ltd,CORPORATE,1T,1T3363,CAD,28473084.77,3156327.24,2025,Y,22/38063,21/05/2025
7890,R78907139ZET,UNITED STATES,UNITED STATES,City Enterprises plc,COMMERCIAL,3E,3E5036,CAD,7372494.38,661734.02,2024,N,22/57578,31/08/2024
5678,W56784926JNX,UNITED STATES,UNITED STATES,Williams Group,RETAIL,1E,1E2999,AUD,663018.33,57444.48,2023,,22/67986,18/07/2023
623,Y6234857K4F,NETHERLANDS,NETHERLANDS,Brown Enterprises,RETAIL,em,em6196,EUR,633989.3,32974.25,2024,,24/14440,20/05/2024
1234,W12347920533,HONG KONG,HONG KONG,Premier Group International,CORPORATE,5,59295,AUD,27953887.38,3936226.07,2024,Y,23/65164,04/11/2024
8901,U89014010W2E,UNITED KINGDOM,UNITED KINGDOM,Brown Enterprises,RETAIL,5,54278,AUD,1077308.36,87504.46,2023,,23/51120,22/10/2023
1234,T123477222LR,INDIA,INDIA,International Trading Co,BUSINESS,2E,2E5270,USD,7692341.94,452548.5,2021,Y,23/46935,12/04/2021
1234,S12344677AAU,SINGAPORE,SINGAPORE,Urban Services Ltd,COMMERCIAL,3T,3T4747,USD,2576147.13,482692.15,2024,Y,24/35987,14/05/2024
2791,E279124598GU,HONG KONG,HONG KONG,Mega Corporation plc,CORPORATE,4,49615,CHF,22430424.64,1709048.12,2021,N,24/98291,11/09/2021
1234,J12349096NPH,JAPAN,JAPAN,Supreme Holdings Ltd,CORPORATE,9,95636,USD,29714638.25,3350651.99,2022,,22/64831,03/04/2022
6789,T678983886NY,CANADA,CANADA,Continental Services plc,BUSINESS,1E,1E2404,EUR,1975128.84,112710.23,2022,Y,24/27459,15/06/2022
6789,C67892561UB7,HONG KONG,HONG KONG,Elite Consortium Ltd,CORPORATE,9,96804,JPY,63522338.32,4929809.81,2022,,21/10702,10/05/2022
8901,E89011673UJS,SINGAPORE,SINGAPORE,Premier Group International,CORPORATE,4,48669,EUR,11560682.01,1272556.79,2025,Y,21/51591,30/12/2025
8901,B89013095R9K,FRANCE,FRANCE,Premier Group International,CORPORATE,2E,2E8046,EUR,10906014.91,582758.04,2024,N,23/90338,15/05/2024
8901,Y89013478U7W,BELGIUM,BELGIUM,City Enterprises plc,COMMERCIAL,4,41871,USD,2811107.95,205975.97,2023,Y,22/17152,28/04/2023
2791,N2791290097B,ITALY,ITALY,Metro Business Group,COMMERCIAL,5,58949,EUR,4614833.07,346649.7,2021,N,24/24744,17/03/2021
1234,F123493353UX,NETHERLANDS,NETHERLANDS,International Trading Co,BUSINESS,1T,1T1067,USD,5986449.56,343139.17,2023,,22/64580,09/02/2023
3456,J34562998OV8,BELGIUM,BELGIUM,Williams Group,RETAIL,8,83519,GBP,127109.21,24610.02,2024,Y,21/70323,28/12/2024
7890,B78908423L00,UNITED KINGDOM,UNITED KINGDOM,Prime Industries Corp,CORPORATE,8,83118,EUR,20646040.85,1115985.34,2024,Y,21/94363,24/05/2024
5678,C56787534JI1,CHINA,CHINA,City Enterprises plc,COMMERCIAL,9,92461,GBP,12376615.66,886501.07,2021,Y,22/31356,18/07/2021
6789,J67899042207,SPAIN,SPAIN,Davis LLC,RETAIL,8,83151,CAD,929219.41,62049.1,2023,N,21/58163,20/09/2023
3456,S34567931DPN,MEXICO,MEXICO,Supreme Holdings Ltd,CORPORATE,5,58112,JPY,24128350.76,1289170.75,2024,,24/22182,21/01/2024
8901,P89019638WSK,AUSTRALIA,AUSTRALIA,Continental Services plc,BUSINESS,5,52297,AUD,2562605.7,238446.74,2023,N,23/29478,07/03/2023
4567,R456722537SS,NETHERLANDS,NETHERLANDS,Brown Enterprises,RETAIL,6,62548,JPY,309737.69,54297.18,2022,N,23/56590,11/05/2022
9012,X90128583GGO,UNITED KINGDOM,UNITED KINGDOM,Smith Ltd,RETAIL,eh,eh7819,CHF,334216.99,20796.92,2021,,23/51149,28/10/2021
7890,Z78904066HC9,CANADA,CANADA,Premier Group International,CORPORATE,7,72742,CAD,12257573.82,872594.01,2024,N,21/10766,21/07/2024
1234,W1234763758V,MEXICO,MEXICO,City Enterprises plc,COMMERCIAL,2E,2E5961,AUD,3477444.41,320814.2,2021,,23/98316,20/12/2021
6789,G678928333ZG,SPAIN,SPAIN,Smith Ltd,RETAIL,1T,1T4428,USD,335124.62,32425.9,2023,N,22/95162,04/05/2023
6789,E67898765PE6,NETHERLANDS,NETHERLANDS,City Enterprises plc,COMMERCIAL,2T,2T8947,GBP,7065585.17,747141.31,2025,N,21/68918,27/10/2025
3456,K34561129D4P,SINGAPORE,SINGAPORE,Brown Enterprises,RETAIL,3E,3E9121,CHF,713978.92,58808.44,2022,,23/14851,07/09/2022
6789,W67891994TPL,MEXICO,MEXICO,Global Industries Inc,BUSINESS,6,65388,CHF,6642673.82,348652.02,2024,,24/72041,29/02/2024
7890,A78903643KGM,BRAZIL,BRAZIL,XYZ Trading Co,COMMERCIAL,8,89317,EUR,6244685.9,759314.89,2025,Y,23/88918,03/12/2025
7890,V78906902224,SINGAPORE,SINGAPORE,Urban Services Ltd,COMMERCIAL,em,em4394,EUR,1144126.06,128064.82,2022,N,21/97432,05/09/2022
2791,Z279178157RI,MEXICO,MEXICO,Davis LLC,RETAIL,2T,2T1770,USD,355127.31,61532.4,2022,Y,23/44184,02/07/2022
2791,Z27912043MEI,INDIA,INDIA,Davis LLC,RETAIL,el,el4671,CAD,727697.15,52154.79,2022,N,23/54606,01/07/2022
623,W62318267PQ,INDIA,INDIA,Smith Ltd,RETAIL,3E,3E2734,USD,608767.86,36753.17,2025,,21/83724,22/01/2025
8901,L890135720Z1,FRANCE,FRANCE,Continental Services plc,BUSINESS,2E,2E2626,AUD,600263.89,97969.21,2021,Y,23/53857,12/03/2021
1234,Z12348760MSD,UNITED KINGDOM,UNITED KINGDOM,Worldwide Logistics Ltd,BUSINESS,5,57799,JPY,4695518.82,377684.94,2022,N,22/29871,29/09/2022
6789,N678985168SY,HONG KONG,HONG KONG,ABC Commercial Ltd,COMMERCIAL,2E,2E8251,CAD,8291090.28,719562.16,2022,Y,21/77809,05/02/2022
1234,B123474431XX,ITALY,ITALY,Urban Services Ltd,COMMERCIAL,3T,3T1947,JPY,5562147.06,321761.83,2023,,23/64959,25/07/2023
8901,A890155836VF,BELGIUM,BELGIUM,Elite Consortium Ltd,CORPORATE,9,98310,AUD,63183299.7,4097371.46,2023,,22/81358,16/11/2023
9012,J90122380BM0,SINGAPORE,SINGAPORE,International Trading Co,BUSINESS,9,99527,EUR,2389241.27,172465.31,2024,,23/38014,17/02/2024
8901,A890114566TJ,BELGIUM,BELGIUM,Worldwide Logistics Ltd,BUSINESS,3E,3E7926,CHF,1354024.28,212438.25,2025,,21/17857,10/07/2025
4567,O45675881UAM,UNITED STATES,UNITED STATES,Jones & Co,RETAIL,3T,3T9737,GBP,649830.81,92144.79,2025,,22/55919,03/06/2025
4567,D45676371SG2,SINGAPORE,SINGAPORE,Continental Services plc,BUSINESS,8,82605,USD,5583264.97,477606.81,2025,Y,24/64008,11/02/2025
1234,O12342279NSV,MEXICO,MEXICO,United Manufacturing Corp,BUSINESS,4,47468,USD,1750159.87,133309.82,2021,N,24/93422,05/08/2021
7890,Q78903082RQ8,ITALY,ITALY,United Manufacturing Corp,BUSINESS,9,99669,JPY,7077847.35,442825.63,2024,Y,22/69694,30/08/2024
623,D6232980NKS,FRANCE,FRANCE,ABC Commercial Ltd,COMMERCIAL,6,67086,EUR,12290912.59,825905.03,2022,N,23/49748,31/05/2022
7890,B789059996H3,SPAIN,SPAIN,City Enterprises plc,COMMERCIAL,eh,eh1034,USD,12825394.4,723048.91,2021,Y,23/18855,23/01/2021
6789,Z67897181RZV,BRAZIL,BRAZIL,Supreme Holdings Ltd,CORPORATE,7,79270,EUR,20036295.97,1623506.04,2024,,24/68973,07/12/2024
7890,Z78907711N6M,BELGIUM,BELGIUM,Smith Ltd,RETAIL,el,el8259,AUD,515485.77,26014.9,2022,,23/94661,15/02/2022
2791,U27912395GWU,NETHERLANDS,NETHERLANDS,Smith Ltd,RETAIL,7,79548,AUD,529425.49,94685.64,2021,Y,24/75881,10/01/2021
1234,H12348278DTL,CANADA,CANADA,United Manufacturing Corp,BUSINESS,2E,2E1737,GBP,6938098.05,367508.83,2025,N,21/54558,12/08/2025
2791,M27915213D9T,INDIA,INDIA,Premier Group International,CORPORATE,1E,1E3359,CAD,17745125.61,1312589.05,2024,Y,23/21747,19/03/2024
4567,F45671445ZKD,UNITED STATES,UNITED STATES,Supreme Holdings Ltd,CORPORATE,8,87763,USD,25450788.9,4619697.34,2024,N,23/59219,02/03/2024
623,Q6239264NEC,AUSTRALIA,AUSTRALIA,City Enterprises plc,COMMERCIAL,2T,2T7669,CAD,6884007.24,727678.24,2022,Y,24/13788,28/07/2022
3456,Y34563057KOD,FRANCE,FRANCE,United Manufacturing Corp,BUSINESS,3E,3E4333,CHF,9117272.36,465978.29,2021,Y,23/80836,28/03/2021
3456,A345686128WX,BRAZIL,BRAZIL,Jones & Co,RETAIL,4,41008,CHF,1147185.74,94705.32,2025,Y,24/45822,03/11/2025
4567,B456736440UK,JAPAN,JAPAN,Elite Consortium Ltd,CORPORATE,3T,3T3014,CAD,77372618.31,4379191.93,2024,Y,23/66618,17/04/2024
9012,Y90128417JXL,BELGIUM,BELGIUM,Supreme Holdings Ltd,CORPORATE,eh,eh8533,EUR,33750870.82,1935952.13,2025,,23/12080,21/12/2025
2791,V27913843O6Z,UNITED KINGDOM,UNITED KINGDOM,Brown Enterprises,RETAIL,7,79816,JPY,118743.75,8515.73,2021,Y,21/80601,16/01/2021
7890,M78903903439,SINGAPORE,SINGAPORE,Mega Corporation plc,CORPORATE,3T,3T8580,CAD,10451323.32,1535039.77,2021,N,22/68271,05/01/2021
3456,C345659673H9,SWITZERLAND,SWITZERLAND,Worldwide Logistics Ltd,BUSINESS,eh,eh1602,EUR,1307037.42,84628.94,2021,N,24/89433,18/04/2021
623,I6239197RTX,SINGAPORE,SINGAPORE,Davis LLC,RETAIL,el,el3875,AUD,591818.46,37288.12,2022,Y,22/18526,07/03/2022
4567,G456713789YT,INDIA,INDIA,Premier Group International,CORPORATE,el,el8437,USD,7726115.2,794103.53,2025,Y,24/94012,11/12/2025
623,D6239491QN1,HONG KONG,HONG KONG,Supreme Holdings Ltd,CORPORATE,4,41769,CAD,49363685.58,2927710.82,2023,N,24/79784,18/08/2023
